Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0805,2,10uF_0805_16V_lowESR,
J1,USB-C_16,1,USB_C_Receptacle,
K1,SRD-03VDC-SL-C,1,SRD-03VDC-SL-C,C24585
"R3, R4",R_1206,2,5.1K,C881294
U1,QFN-32_EP_5x5_Pitch0.5mm,1,ESP32-C3,C2838500
U2,SOT-223-5,1,AMS1117-3_3_C347222,C347222
